Date,AAPL.US Close,MSFT.US Close,ADBE.US Close,AMZN.US Close,PEP.US Close,AAPL.US High,MSFT.US High,ADBE.US High,AMZN.US High,PEP.US High,AAPL.US Low,MSFT.US Low,ADBE.US Low,AMZN.US Low,PEP.US Low,AAPL.US Open,MSFT.US Open,ADBE.US Open,AMZN.US Open,PEP.US Open,AAPL.US Volume,MSFT.US Volume,ADBE.US Volume,AMZN.US Volume,PEP.US Volume
2024-10-07,220.449,408.722,487.3,180.8,167.21,224.426,416.277,504.87,183.6,167.93,220.092,408.183,486.4,180.25,166.455,223.244,415.169,503.96,182.95,167.72,39727687.0,20961634.828316,4870534.0,42364201.0,5459506.0
2024-10-08,224.506,413.882,496.24,182.72,170.42,224.716,414.83,500.0,183.09,170.65,222.001,407.355,486.4,180.92,166.85,223.045,410.079,492.45,181.915,167.72,32034974.0,19267751.056065,3551609.0,26372086.0,8297792.0
2024-10-09,228.256,416.626,494.08,185.17,172.54,228.465,419.54,495.88,185.845,173.28,223.571,413.472,492.32,182.05,169.1,223.97,415.029,495.88,182.82,169.38,33780139.0,15004230.070284,2869417.0,26343117.0,7177529.0
2024-10-10,227.758,415.009,503.57,186.65,172.99,228.216,416.516,506.45,188.134,173.06,225.898,412.325,489.35,185.83,171.22,226.505,414.396,490.54,187.13,172.07,28342159.0,13876095.461952,2775102.0,27785043.0,5292404.0
2024-10-11,226.277,415.488,495.42,188.82,174.81,228.126,416.297,507.9799,189.9284,175.175,226.068,412.424,494.9,186.3,172.87,228.016,415.304,504.78,186.63,174.0,31937926.0,14173257.084294,2992409.0,25751557.0,4720299.0
2024-10-14,230.006,418.303,509.65,187.54,176.1,230.433,423.193,514.26,189.83,176.27,227.321,416.686,500.41,187.36,174.44,227.421,416.935,501.8,189.78,174.955,40106538.0,16686419.481396,3411497.0,22614407.0,4536048.0
2024-10-15,232.541,417.904,508.03,187.69,175.9,236.161,421.636,517.772,188.41,177.39,231.069,414.43,506.8,184.58,175.12,232.303,421.337,513.82,187.63,176.355,65115783.0,18938032.39644,3605675.0,32178925.0,5802290.0
2024-10-16,230.483,415.289,502.54,186.89,174.48,230.821,415.528,506.84,187.78,175.33,228.553,409.66,500.25,185.61,173.63,230.303,414.341,506.39,187.05,175.01,34274052.0,15539975.297098,1859116.0,23456812.0,4400852.0
2024-10-17,230.851,415.888,496.83,187.53,174.67,232.541,421.656,507.5,188.94,175.47,229.231,414.76,495.23,186.0,173.695,232.123,421.516,506.51,188.22,174.38,33179496.0,14849668.311325,2769241.0,25039414.0,4125910.0
2024-10-18,233.685,417.325,494.9,188.99,175.06,234.857,418.812,499.0,190.74,175.33,232.7,415.429,491.0501,186.28,172.12,234.857,416.307,491.29,187.15,172.3,46692784.0,17179635.750605,2011121.0,37417670.0,5097170.0
2024-10-21,235.157,417.943,497.71,189.07,175.01,235.524,418.123,500.6499,189.46,177.5,233.138,412.924,492.96,186.4,174.34873,233.138,415.289,492.96,188.05,174.46,36458507.0,14234550.526608,1679657.0,24639393.0,6436516.0
2024-10-22,234.541,426.656,493.11,189.7,174.37,234.897,429.719,497.34,191.5201,174.95,231.298,417.205,488.36,186.975,173.505,232.576,417.654,496.43,188.35,174.51,39065203.0,25533203.182255,2388721.0,29650593.0,3790452.0
2024-10-23,229.468,423.752,485.03,184.71,172.95,233.828,430.219,493.83,189.16,173.84,226.485,421.686,483.391,183.69,172.47,232.77,429.994,492.0,188.85,173.7,52581246.0,19693719.989216,2021316.0,31937089.0,3800654.0
2024-10-24,229.281,423.882,482.87,186.38,172.16,229.527,425.127,488.47,187.11,173.535,227.132,421.556,480.06,183.86,171.7,228.692,424.475,486.63,185.25,172.92,31284584.0,13608816.534517,2100308.0,21647395.0,4244903.0
2024-10-25,230.116,427.295,483.72,187.83,171.79,231.915,431.656,488.34,190.45,174.0,228.286,425.713,482.52,187.53,171.6,228.455,425.907,483.42,187.85,172.23,39020680.0,16932889.840775,2426769.0,29362060.0,4442863.0
2024-10-28,232.093,425.738,481.04,188.39,169.84,233.416,431.077,488.49,190.21,172.98,231.248,425.448,480.48,188.21,169.725,232.014,430.793,487.65,189.565,172.98,36290230.0,14912233.29372,2302255.0,27930836.0,5186635.0
